document	source
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Chapel_Wanderer.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/City_Lace_cutscene.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Clover_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Cog_04.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Coral_02.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Cradle_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Crawl_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Demo End.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Demo Start.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Dock_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Dust_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Greymoor_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Halfway_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Hang_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Last_Dive.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Library_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Memory_Ant_Queen.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Mosstown_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Organ_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Peak_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Room_Caravan_Interior.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Shadow_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Shellgrave.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Shellwood_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Slab_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Song_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Sprintmaster_Cave.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Tube_Hub.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Tut_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Under_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Ward_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Weave_02.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Wisp_02.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Menu_Credits.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Opening_Sequence.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Pre_Menu_Intro.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Quit_To_Menu.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/Assembly-CSharp/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/BuildSupport/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/MixedIntegrations/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/00_Bootstrap/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/01_Core/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/02_Player/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/03_Combat/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/04_World_Environment/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/05_Scenes_Travel/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/06_Data_Save_Progression/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/07_UI_Localization/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/09_Platform_Input_Achievements/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/10_Bosses_Godmaster/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/11_Actors_Quests/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ProjectCode/Game/12_Utilities/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/TeamCherry/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scripts/ThirdParty/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Docs/AgentReference
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Docs/CombatResearch
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Docs/SceneResearch
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Docs/ShaderRecovery
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Packages/manifest.json
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Packages/packages-lock.json
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Animations/Knight.prefab
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Audio/SFX
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Data Assets/Hero Bounce Configs/Wanderer.asset
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Data Assets/HeroController Configs/
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/InputSystem_Actions.inputactions
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/PlayMaker/Actions/Physics2D/SetVelocity2d.cs
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/PlayMaker/Templates/
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Plugins/PlayMaker.dll
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Prefabs/Heroes/Hero_Hornet.prefab
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Prefabs/Hornet Bosses/Trobbio.prefab
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Prefabs/Hornet Enemies/Pinstress Boss.prefab
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scenes/Hornet/Ant_04.unity
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scenes/Hornet/Bone_East_12.unity
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scenes/Hornet/Library_13.unity
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scenes/Hornet/Mosstown_01.unity
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scenes/Hornet/Tut_02.unity
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scenes/Hornet/Tut_03.unity
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/Assembly-CSharp/
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AccelerateToX.cs
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/HeroControllerMethods.cs
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/MixedIntegrations/PlayMakerActions/DecelerateXY.cs
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/CheckAlertRange.cs
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/ProjectCode/Game/02_Player/
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/ProjectCode/Game/02_Player/HeroAnimationController.cs
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/ProjectCode/Game/02_Player/HeroController.cs
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/ProjectCode/Game/03_Combat/
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SendRandomEventV3.cs
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Docs/CombatResearch/data/action_index.json
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Docs/CombatResearch/data/catalog.json
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	Docs/CombatResearch/data/known-gaps.json
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	ProjectSettings/Physics2DSettings.asset
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	ProjectSettings/TimeManager.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Animation Controllers
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/AnimationClip
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Animations
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Animations/Hornet NeedolinWindy.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Animations/Knight.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/AnimatorController
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/AnimatorOverrideController
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/Actors.mixer
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/Atmos/cave_atmos_misc_3.ogg
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/AtmosCues/Boneforest.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/AtmosCues/Moss Cave.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/Audio Player Actor 2D.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/Audio Player Actor.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/Audio Player UI.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/HornetMusic/ATMOS/atmos_boneforest.ogg
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/HornetMusic/ATMOS/atmos_lava_far.ogg
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/HornetMusic/BONEFOREST/H49-102 MAIN BONE.ogg
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/MusicCues/Boneforest.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/Vibration Files/PS5/hornet_walk_footsteps_wetwood_vd.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Audio/Vibration Files/PS5/understore_toll_bench_deactivate_vd.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Collections
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Collections/Knight Data/Knight.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Collections/Terrain Data/Terrain.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Data Assets/GlobalSettings/Global Audio Settings.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Data Assets/tileMapData.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Editor/GameResearch/SceneReferenceTeleportWindow.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/GUIBlendModes/Shaders/Includes/
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Materials/Crossroads_Material.mat
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Materials/Terrain.physicsMaterial2D
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Plugins/PlayMaker.dll
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Prefabs/Camera/_GameCameras.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Prefabs/Effects/Particle System/Knight Particles_follow.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Prefabs/Heroes/Hero_Hornet.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Prefabs/Managers/_GameManager.prefab
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Resources/SceneTeleportMap.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scenes/Hornet/Bellway_City.unity
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scenes/Hornet/Bone_02.unity
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scenes/Hornet/Bone_02_Readable.unity
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scenes/Hornet/Coral_36.unity
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scenes/Hornet/Coral_Judge_Arena.unity
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scenes/Hornet/Tut_01.unity
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/Assembly-CSharp/AssetLinker.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/Assembly-CSharp/CameraBlurPlane.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/Assembly-CSharp/CustomSceneManager.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/Assembly-CSharp/SceneAppearanceRegion.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/Assembly-CSharp/SceneTeleportMap.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/01_Core/GameManager.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/02_Player/HeroAnimationController.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/02_Player/HeroAudioController.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/02_Player/HeroController.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/05_Scenes_Travel/CameraLockArea.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/05_Scenes_Travel/ForceCameraAspect.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/05_Scenes_Travel/GameCameras.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/05_Scenes_Travel/SceneColorManager.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/05_Scenes_Travel/SceneLoad.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/05_Scenes_Travel/SceneManagerSettings.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/05_Scenes_Travel/SceneParticlesController.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/05_Scenes_Travel/TransitionPoint.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AtmosCue.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AtmosRegion.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AtmosSnapshotMarker.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AudioEvent.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AudioEventAnimationEvents.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AudioEventManager.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AudioEventRandom.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AudioLoopMaster.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AudioManager.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/BlurPlane.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/CameraController.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/CameraTarget.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/LightBlurredBackground.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/MeshSortingOrder.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/MusicCue.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/MusicRegion.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/MuteAudioChannel.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/ParallaxSorter.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/SnapshotMarker.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/SpawnableAudioSource.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/GlobalSettings/Audio.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/ProjectCode/TeamCherry/PS5/PS5VibrationData.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dRuntime/TileMap/BuilderUtil.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dRuntime/TileMap/ColliderBuilder2D.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dRuntime/TileMap/Layer.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dRuntime/TileMap/RenderMeshBuilder.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dRuntime/TileMap/SpriteChunk.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimationClip.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimationFrame.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimator.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimatorCallbackHooks.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dTileMap.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dTileMapData.cs
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Shader/Includes/
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Shaders/Cherry-Sprites-Default.shader
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Shaders/Sprites-Lit.shader
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Sprite/Bonetown_rubble_0006_1_front.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Assets/Texture2D/sactx-0-4096x8192-BC7-HBone-0e365193.png
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Docs/SceneResearch/Bone_02_Readable.md
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Docs/SceneResearch/SceneReferenceTeleport.md
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Docs/SceneResearch/Tk2dTileMap_Flowcharts.md
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Docs/SceneResearch/Tk2dTileMap_Runtime_Demo.md
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	Docs/ShaderRecovery/README.md
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	ProjectSettings/GraphicsSettings.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	ProjectSettings/Physics2DSettings.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	ProjectSettings/ProjectSettings.asset
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	tools/shader_readability/
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Achievements List.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Collectables/Collectable Items/Common Spine.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Collectables/Collectable Items/Mossberry.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Collectables/Collectables Master List.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Collectables/Invalid Item Template.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Enemy Journal/Master Journal List.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/GameConfig.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/GlobalSettings/
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Quest System/Bonetown Quest Board.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Quest System/Master Quest List.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Quest System/Quests/Brolly Get.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Quest System/Quests/Mossberry Collection 1.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Quest System/Quests/Mossberry Collection Pre.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Tools/Crest Items/Cursed.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Tools/Crest Lists/Master Crest List.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/Data Assets/Tools/Tool Lists/Master Tool List.asset
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/InputSystem_Actions.inputactions
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	Assets/PlayMaker/Templates/bench_control.asset
