source	namespace	owner_type	kind	symbol	line	end_line	signature
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ReapplyVisualClassification	200	271	private static void ReapplyVisualClassification()
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	CreateVisualHierarchy	273	289	private static Dictionary<string, Transform> CreateVisualHierarchy(Scene scene)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FindExistingVisualHierarchy	291	316	private static Dictionary<string, Transform> FindExistingVisualHierarchy(Scene scene)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	CreateOrganizer	318	334	private static GameObject CreateOrganizer(string name, Transform parent, Scene scene)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	MoveCandidates	336	365	private static void MoveCandidates( Scene scene, IReadOnlyDictionary<string, CandidateInfo> candidates, IReadOnlyDictionary<string, Transform> groupTransforms)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FindCandidates	367	392	private static Dictionary<string, CandidateInfo> FindCandidates(Scene scene)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FindSerializedSceneReferenceIds	394	434	private static HashSet<string> FindSerializedSceneReferenceIds(Scene scene)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	TreeContainsReferencedObject	436	453	private static bool TreeContainsReferencedObject(GameObject root, IReadOnlyCollection<string> referencedIds)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FindManualReview	455	478	private static Dictionary<string, CandidateInfo> FindManualReview(Scene scene)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	RequiresManualReview	480	487	private static bool RequiresManualReview(GameObject root)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	GetManualReviewReason	489	505	private static string GetManualReviewReason(GameObject root)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	IsStrictStaticVisualTree	507	547	private static bool IsStrictStaticVisualTree(GameObject root)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ClassifyVisualRoot	549	631	private static string ClassifyVisualRoot(GameObject root)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ContainsAny	633	636	private static bool ContainsAny(string value, params string[] tokens)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	CaptureScene	638	675	private static SceneSnapshot CaptureScene(Scene scene)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	CaptureEnvironmentSignature	677	717	private static string CaptureEnvironmentSignature()
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	CaptureObject	719	745	private static ObjectSnapshot CaptureObject(GameObject gameObject)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	CaptureSerializedDataCanonical	747	779	private static string CaptureSerializedDataCanonical(IEnumerable<Component> components)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	IsTransientObjectReferenceChild	781	789	private static bool IsTransientObjectReferenceChild(string propertyPath)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatSerializedProperty	791	856	private static string FormatSerializedProperty(SerializedProperty property)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	AppendHashToken	858	865	private static void AppendHashToken(StringBuilder builder, string value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ComputeTextSha256	867	874	private static string ComputeTextSha256(string value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	DescribeFirstTokenDifference	876	895	private static string DescribeFirstTokenDifference(string before, string after)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	DecodeHashTokens	897	919	private static List<string> DecodeHashTokens(string encoded)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatBoxedValue	921	945	private static string FormatBoxedValue(object value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	CaptureObjectReferenceSignature	947	990	private static string CaptureObjectReferenceSignature(IEnumerable<Component> components)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	CaptureSpriteRendererSignature	992	1017	private static string CaptureSpriteRendererSignature(GameObject gameObject)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	NormalizeObjectReference	1019	1039	private static string NormalizeObjectReference(Object value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ValidateSnapshots	1041	1127	private static ValidationResult ValidateSnapshots( SceneSnapshot source, SceneSnapshot target, IReadOnlyDictionary<string, CandidateInfo> expectedCandidates)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ValidateOrganizerHierarchy	1129	1178	private static void ValidateOrganizerHierarchy( SceneSnapshot target, IReadOnlyCollection<ObjectSnapshot> extras, IReadOnlyDictionary<string, CandidateInfo> expectedCandidates, ValidationResult result)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ValidateConservedRoots	1180	1204	private static void ValidateConservedRoots(SceneSnapshot target, ValidationResult result)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	WriteReport	1206	1332	private static void WriteReport( SceneSnapshot source, SceneSnapshot target, IReadOnlyDictionary<string, CandidateInfo> candidates, IReadOnlyDictionary<string, CandidateInfo> manualReview, ValidationResult validation, string sourceHash)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	AssertCandidateSetsMatch	1334	1346	private static void AssertCandidateSetsMatch( IReadOnlyDictionary<string, CandidateInfo> source, IReadOnlyDictionary<string, CandidateInfo> target)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	GetAllGameObjects	1348	1357	private static IEnumerable<GameObject> GetAllGameObjects(Scene scene)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	GetLocalId	1359	1367	private static string GetLocalId(Object value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	GetHierarchyPath	1369	1377	private static string GetHierarchyPath(Transform transform)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	CaptureCanonicalSourceSnapshot	1379	1422	private static SceneSnapshot CaptureCanonicalSourceSnapshot()
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	CanonicalizeSceneAssetToFixedPoint	1424	1451	private static Scene CanonicalizeSceneAssetToFixedPoint(string assetPath)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	OpenSceneSafely	1453	1476	private static Scene OpenSceneSafely(string assetPath)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	PrepareLoadedScenesForSafeUnload	1478	1525	private static List<PersistentReferenceRestore> PrepareLoadedScenesForSafeUnload()
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ClearSceneDirtiness	1527	1549	private static void ClearSceneDirtiness(Scene scene)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ClearPersistentMeshReferences	1551	1584	private static bool ClearPersistentMeshReferences( Component tileMap, Scene scene, ICollection<PersistentReferenceRestore> restorePoints)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	RestorePersistentMeshReferences	1586	1614	private static void RestorePersistentMeshReferences(IEnumerable<PersistentReferenceRestore> restorePoints)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ClearTk2dSpriteRuntimeMeshes	1616	1620	private static void ClearTk2dSpriteRuntimeMeshes(Component sprite)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ClearRuntimeMeshField	1622	1634	private static void ClearRuntimeMeshField(Component owner, FieldInfo field)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	RestoreTargetSceneBytes	1636	1652	private static void RestoreTargetSceneBytes(byte[] originalBytes)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ClearAssetBundleMetadata	1654	1665	private static void ClearAssetBundleMetadata(string assetPath)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	RequireCleanOpenScenes	1667	1688	private static void RequireCleanOpenScenes()
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	RequireAsset	1690	1696	private static void RequireAsset(string assetPath)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	AbsolutePath	1698	1703	private static string AbsolutePath(string projectRelativePath)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ComputeSha256	1705	1712	private static string ComputeSha256(string path)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	NearlyEqual	1714	1717	private static bool NearlyEqual(Vector3 left, Vector3 right)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	NearlyEqual	1719	1722	private static bool NearlyEqual(Quaternion left, Quaternion right)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	NearlyEqual	1724	1734	private static bool NearlyEqual(Matrix4x4 left, Matrix4x4 right)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatColor	1736	1739	private static string FormatColor(Color value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatVector2	1741	1744	private static string FormatVector2(Vector2 value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatVector3	1746	1749	private static string FormatVector3(Vector3 value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatVector4	1751	1754	private static string FormatVector4(Vector4 value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatQuaternion	1756	1759	private static string FormatQuaternion(Quaternion value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatRect	1761	1764	private static string FormatRect(Rect value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatBounds	1766	1769	private static string FormatBounds(Bounds value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatVector2Int	1771	1774	private static string FormatVector2Int(Vector2Int value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatVector3Int	1776	1779	private static string FormatVector3Int(Vector3Int value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatRectInt	1781	1784	private static string FormatRectInt(RectInt value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatBoundsInt	1786	1789	private static string FormatBoundsInt(BoundsInt value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatAnimationCurve	1791	1811	private static string FormatAnimationCurve(AnimationCurve curve)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	FormatFloat	1813	1816	private static string FormatFloat(float value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	EscapeMarkdown	1818	1821	private static string EscapeMarkdown(string value)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	RunMenuAction	1823	1839	private static void RunMenuAction(Action action, string successTitle, string successMessage)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	RunBatchAction	1841	1867	private static void RunBatchAction(Action action)
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	class_declaration	PersistentReferenceRestore	1869	1875	private sealed class PersistentReferenceRestore
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.PersistentReferenceRestore	field_declaration	Owner	1871	1871	public Component Owner;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.PersistentReferenceRestore	field_declaration	PropertyPath	1872	1872	public string PropertyPath;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.PersistentReferenceRestore	field_declaration	OriginalValue	1873	1873	public Object OriginalValue;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.PersistentReferenceRestore	field_declaration	Scene	1874	1874	public Scene Scene;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	class_declaration	CandidateInfo	1877	1885	private sealed class CandidateInfo
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.CandidateInfo	field_declaration	LocalId	1879	1879	public string LocalId;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.CandidateInfo	field_declaration	OriginalPath	1880	1880	public string OriginalPath;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.CandidateInfo	field_declaration	OriginalSiblingIndex	1881	1881	public int OriginalSiblingIndex;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.CandidateInfo	field_declaration	ObjectCount	1882	1882	public int ObjectCount;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.CandidateInfo	field_declaration	GroupName	1883	1883	public string GroupName;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.CandidateInfo	field_declaration	ReviewReason	1884	1884	public string ReviewReason;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	class_declaration	SceneSnapshot	1887	1895	private sealed class SceneSnapshot
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.SceneSnapshot	field_declaration	ScenePath	1889	1889	public string ScenePath;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.SceneSnapshot	field_declaration	RootCount	1890	1890	public int RootCount;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.SceneSnapshot	field_declaration	MissingScriptCount	1891	1891	public int MissingScriptCount;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.SceneSnapshot	field_declaration	EnvironmentSignature	1892	1892	public string EnvironmentSignature;
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.SceneSnapshot	field_declaration	Objects	1893	1893	public readonly Dictionary<string, ObjectSnapshot> Objects = new Dictionary<string, ObjectSnapshot>(StringComparer.Ordinal);
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder.SceneSnapshot	field_declaration	ComponentCounts	1894	1894	public readonly Dictionary<string, int> ComponentCounts = new Dictionary<string, int>(StringComparer.Ordinal);
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	class_declaration	ObjectSnapshot	1897	1916	private sealed class ObjectSnapshot
