source	guid	sha256	bytes	lines	game_objects	mono_behaviours	fsms	sprite_renderers	animators	audio_sources	colliders_2d	prefab_instances
Assets/Animations/Hornet Enemies/Blade Spider Hang Anim.prefab	5e62094c881d0b04b84a6e280448bb7e	5ad9ff25c9ed94b26d23f4d7ee4cf45a94c0628ceb7e560f55f40d40a2336c6c	11928	401	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bloat Roach Anim.prefab	5d449871b30f6f443896dd6044b3338e	c2c0b2ff8d6476750488d2773fc719b48de811c8f37f1c1541bb54fa740d3c2c	12305	413	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bloom Puncher Anim.prefab	2874c29f88139424b91b37016d4a3aec	3c366230f529fe008a13d34287331781c65064c87864c3f529b25972ab7628b0	15016	492	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bloom Shooter Anim.prefab	0926af1c12e81a94794ee42c2e902321	1e00482d436d1eb21538372ce9fd644e27b6303b52f64a2e6b340045efe31c5e	10119	338	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Beast Anim.prefab	895816cbf01f735409ad6ff9c0dcc925	4a77f62fe5481771f857fd53ecb15fc6aa134b3880d9d744787b4876435b06bb	23237	756	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Circler Anim.prefab	25e22b25dce30f14b806aa6255e5ad0c	982742bde0313957a168512238ddf95be20bdf750cef7bad07213c5f2fae001a	10846	366	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Circler Vicous Anim.prefab	8fc19e12bd5437a4a8894fa2aa258fa5	574c236e4edf12475aff49597aaa03ca9a1b5a4efc0e8af0a19f8946d9656bf7	22932	745	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Crawler Anim.prefab	20c144c3e24b63249addb96d1d2837f2	2afad78417612f512713ad4095ce4cf04bc6dbb1ebc9f9126770019bb4031cfd	6316	215	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Flyer Anim.prefab	50025c164c414b340b44ec62e1eedc00	a5b7d27fe66126267790605ea1aa1b75b048af59d35b43aa8a5620c59d46c782	11220	378	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Flyer Giant Anim.prefab	5170633b5b49d4240aa683faf516fc7a	76a1f1e1565dcc2f9bec1882fede9aca7d42095f2b4c44f50427de0f71a8d71c	18083	600	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Goomba Anim.prefab	49a6118965e372941afa2542b678520f	e4b38ce8d54093d3793dca8be8088035be5b347a8ec1027310399c032f0b8f2b	11344	383	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Goomba Bounce Fly Anim.prefab	09eda600006228148ac719b73ba668bb	368769cab47d46a2bcf31a5382f7023697f9831ccb342ab0ff7bd901aba6b536	4395	151	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Goomba Large Anim.prefab	30df00e1f9a244d479c6c69c0f8a80f6	662644e8f012c34276529c98a2b92fc77d7ff2ce1883f5ec7e3f0cd584b2190c	15954	530	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hopper Anim.prefab	ee61b67cad5e06349a3df58c94c0a94e	45d5eea5c517696e8378e8f843b61084d2dee273041f18ddbf131b7ac4dc5561	8538	299	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hopper Giant Anim.prefab	ce55bb7e7eec66442840d8e11499a63d	d4d692c2c4cad25599f941f49855d18faf1c4cb624a0c18c0cc42a317280cf6b	22936	754	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hunter Anim.prefab	c2111edc47a371e4eaafcca58746e2c1	a9ec83c0799e02926e3cef72eb499b25c4ae121f4657c2eccfb493e2c1c1e571	50506	1675	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hunter Buzzer Anim.prefab	d103b4865c44d724fa50c4048a990020	7b17de8b4ef67b478a4b4e382bb2d3b9e61d4b06e0918906d9a741644c4994be	15324	512	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hunter Chief Anim.prefab	06e5a837af31d9c4ab58db869ac481d7	a625dab9b24dcdfb25cbb81224912fdb0ee9854c25e7311f38181c30daaab642	42445	1417	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hunter Child Anim.prefab	1a9e728fe9e4dca47b2947a33570e90b	431165f42903d450763df20a0097ca4a9b8ec1e8f2a56202532c91e0b5afd769	32177	1066	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hunter Fly Anim.prefab	9f591cad453685143bd7207be0820fe3	5e5072c66a87f3e0ee5d1a30bcafbbfdd467789b28fbd5480a0d033263691c4c	40744	1333	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hunter Throw Anim.prefab	6c0e801b3f7da6549bdfab79ed7235b4	3bceff5feddbf5c92e1f4d154e14acb9c098ecd0212af87a69fcc52f44c095fc	41589	1375	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hunter Tiny Anim.prefab	654f5b70f4b2d68468c241cac0abee79	952eb0e2bc9f68aaa727311f7f3ea6d4d7c7ae57d7c8dab28e780f1d8ed7cd38	8642	291	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hunter Trapper Anim.prefab	5bb382c83a12e854e988d92fa003c605	f1bb995e08bd84e8f0cce9200d83bc7b25ec4267760c27c216a5ee36bbca7e86	35528	1181	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Hunter Trapper Barb Anim.prefab	8f3524daa7b2df94bbe3a3860c8bcf14	931d4ad9f47300dda5b445f9dbd1594647b6f8a44c2ea3ed6a434694361de5d3	4487	156	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Roller Anim.prefab	38ca33a189b7fcd4bb9d75adc99c19ef	6c686971c3278b1a518d6fc5a0166736ed1cee106e4ea8322b3fbe47c80b63f9	9196	313	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Spitter Anim.prefab	606f0f91e5338864a9ba0d4f2c6ff870	b31711aaf550be9d0ff9a5f29748ce38219f89986c5b03b4ac8a11f485fb7985	15814	525	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Thumper Anim.prefab	09b29520b452d4849af319f2b63cf285	874a93b6744407a6747e8efa03cc5546bf6272cc3ef9c176c5393e3e2948cf41	24523	815	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Worm Anim.prefab	1b0cfea28fbce1b4e9089ce325458dc1	8796c6230a68fd225185a42a5a5830f18aff7d9db07fcd7f9b4c4a98b31e21b5	6235	210	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bone Worm BlueBlood Anim.prefab	befa33be1ccb5b54fbc194bfae5983a1	70e61b98ac5c067e3d79e0183715ff8a8249b1f9f5474affd9efc343c7ca3185	22866	727	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Citadel Bat Anim.prefab	6fcc74db0c3be4341942ee03b3f0c1d6	038264eeea107c9fb53f7dde4191de69e860d755223437f71fc08a2ff399229e	17171	571	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Citadel Bat Large Anim.prefab	2ad4e79fab5bb374dbc19622b3258df2	173970c19b55d996c91d2abb9e33a56bc43b46635f812e21835839979c60612f	20364	676	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Cloverstag Anim.prefab	d590c756ec90d7f45b087debffd7549d	f59667c3a07fdde92a6431c6d2a27c19c8cc8b69fee3f350a08c66f26f0cb2dc	12363	418	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Cloverstag White Anim.prefab	930c136e04b6eea498fe2f2d2715edcf	6365b0d408915b981106efedd8c2f76c7cc84596d8d18384974317f8eae0ad6d	29613	975	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Conductor Anim.prefab	b3567ce4f6f4ccf4488bd1ab18f8056c	8743e8c0e9cc2d23207e6dce8165eee6d62d716046284106d7cc786e9eb85b8d	11445	384	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Big Jellyfish Anim.prefab	3504c5f00b6747d4eacda204a00933de	498511ece943937ae7016614e70ec89548e84403894f936b479a273a683ba605	5856	198	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Brawler Anim.prefab	9a61f1964ea328646b010f235a9db45c	7a3870f8af064584da289bc9195178b08dd76400511c9936051318ac7691b0be	36639	1194	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Bubble Brute Anim.prefab	fd69dd1c6d21f9941949602fe3471c43	a64cc6c5b2855bff43a53339bbb8769c031256f3c848998f8a64b141d2294a97	18067	600	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Conch Driller Anim.prefab	43c9aabb8ae03034ea748995dee3cab6	e46f0d03e5b4cbbbe39cb4fd145f541146f87d81545f9095b5d0e75432aa6020	17926	590	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Conch Driller Giant Anim.prefab	4750e740c5840504292790b5d0a75356	f67fd9355c85e1912e4b62328f3d340c9990f3ec49b1c1652c5481cc557977fd	27819	903	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Conch Shooter Anim.prefab	5efb84ba58fb98d4e805031f77bd8110	77b3b98cb3b0f100fbd714bd5a6288a27a9225866e9b0006d65c9465d9f2e758	17431	586	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Conch Shooter Heavy Anim.prefab	ae9ce1e5c6fc9b04b87e9fee889796fc	45577e8955ef82b64c91b25e93be72c85d41d5898c36708309680ba18b6875b5	14979	500	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Conch Stabber Anim.prefab	f90a01058de3e584ca27a91fde84cbf7	f81c1b126f163a4869849207fb2591067643d4640b230ceec6aff6c7b502ade5	14533	488	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Flyer Anim.prefab	f804b65152ff2db4bb470c787f528d2b	ad8c795e791120d738604151f7adda90badeeda7e99b7732a48e89ec8eb1198a	29547	987	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Flyer Throw Anim.prefab	9f27346c85b0ae74c8550de8426208bc	eab8e665d2ad52ab3a30483d27323e3b1f5eb90fdd20b2dd3269f93dfb14cbfb	28070	901	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Goomba Anim.prefab	e0afa42b7b45b99459e08a33207b1408	1c0c962612331a5851ea312d86cc370b9aa3570864c5f5ced80f028998cf21d0	11595	411	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Goomba Large Anim.prefab	2fb8afd93585f1547a87ffb1287f9971	4846c6a9f411e612865e23fc858d72f8dcd39e24e9b2c489c5643b69d484d7d5	10093	351	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Hunter Anim.prefab	24688b14a11c38e499b39a82130a75ad	b8d5493e82768ac64124a636093b8f59900849650f15dfb15f54dc823e26092a	27473	909	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Judge Anim.prefab	da498049d0b2aa94aa9dbb6025c4975e	ba7e7c5b87d4770f5e45c8635e09dc7f7870b7d731e6ea35bf584490047f5044	31625	1070	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral King Anim.prefab	0913d8c63cb8b2d44ac1d6e80f3e6fd3	2ac7d6efe47e54ef3e369a005293ae9d41de907d50021429fe76fa5a3cfe7e26	41288	1381	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Spike Goomba Anim.prefab	06bc33d612b04f14d9dd94d4276fdf85	0b4b08cd980f8469d6b185bf5d042b7b865340469db47253f1912583295e61e2	12197	421	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Swimmers Anim.prefab	c55ca74a78bc200469a5eb3d0598b4e7	f945014bd99b9925844ca89fef04dc17514e7b2d6c08871e9a284e2437064fec	17566	578	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Tendril Anim.prefab	cfdf8339cb8213f47b90cddfdb77342f	dae06eaec1fe815b83e6fc57742faf61e6724402feeeadeeff44e67d34dc8f7e	10697	369	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Warrior Anim.prefab	0a19e545c46a83c43a485fb3c8a03ab9	6beb4d5cc7f3a5f42394d8172f80f33b46e171c95e0c6e098b95ebfdbb330d57	27031	910	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Coral Warrior Grey Anim.prefab	934c6f118e613db45b424134035e56bc	4567116ceaf462f9d83362eeea0388f3223e0f0cf427d06078dce02a8997cdf0	54407	1777	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Cradle Challenge Pea Anim.prefab	9408b67d3d8ca4c418421a34d57dd6b4	67353701e621d560aed385584fdebdf9906730cf25f6992b148a61d2bf9ce5a3	3990	139	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Crawfather Anim.prefab	a1746572c27f1844a9c63f17a32aa99e	45407e6e383da34229b76a86a45b0984a44fa7f865c51ca93c8d96d5f169e1b8	44760	1475	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Crow Anim.prefab	6f41e0ef66b423e4c92301d54e693ed4	136bf33bdefa90cc31f97333aea89db6b47043bbd74edef140e21f99bc26edab	29613	975	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Crowman Anim.prefab	0acf72880eece9a44b5ff1b6833778e8	e89e060eb8f53bc7bc6d17b751a1ed495c52db4cc22bebb92f82056393b69244	43562	1439	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Crowman Dagger Juror Anim.prefab	3049e12fa7fdc804b9ee295f81a784e3	76a152ca1adda984391198069937d4dbece654776679fc4ff42c3be54a0205cd	26015	862	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Crowman Juror Anim.prefab	2b069a2e8d692d4439cc75d25dd33b48	e34704c4c05474c93f671f37d8b85c2386faa177aaf772b9d34323742f4d64b5	38070	1267	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Crowman Juror Tiny Anim.prefab	b205cdf5139802b439e47d93ac72ac7b	7fe1c6ee39abcf00465bf6ad707ebd690bb964555fa2a7624a8ec05d08b1b0dc	31593	1039	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Crypt Worm Anim.prefab	e595d16724610964192ca156833d6869	1674de31ddaa910449cfc8065175ebcd553ef40666249cbcfeac7abf797091d9	14126	476	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Crystal Drifter Anim.prefab	c362b1578c5a2dc4399e426727eed7f5	ccf465d92ede18e1a6555b5ea8479e3026ac52f614041bc4ab52a098eaa2b068	8300	275	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Crystal Drifter Giant Anim.prefab	c36864da626960343be66bf5df05240a	7de0378628e12bf5298540fc39e682a69fabffc6d6dd4d2b9b095378c99fdda3	9051	303	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Dock Bomber Anim.prefab	e85c8bac8fd803f40a46eab193716564	5c95de745511a39dec0b56f20c5e023221133ad85ddc517c46ab16fbce815db4	19801	658	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Dock Charger Anim.prefab	73b39e21890483344af7af2da7215434	782c3a13d8aa3e193916e35c0cab9da3a9887c897fa35c94cbd927dad8efa383	17058	579	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Dock Flyer Anim.prefab	7b8ae16ac24287f4fa125ad7c18b35ca	d672d793f0dc362b72f4409942bc9615412bc5adb55deb3d85ec3630e51ad3b1	24121	790	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Dock Guard Anim.prefab	4b2c095e3653c1347a437a88fa3267e5	85d27045f7f782616f35cc1a127c8e17e64195a8a99e0d7a6caf386377e967f0	38516	1258	1	1	0	0	0	0	0	0
