document	level	heading	start_line	end_line	words
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	4.3 Down attack and rebound chain	190	203	330
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	4.4 Tools, charge, specials, bind	204	213	243
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	5. Animation, attack windows and feedback	214	247	562
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	5.1 Two separate animation responsibilities	216	237	387
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	5.2 Feedback dependencies	238	247	168
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	6. Outgoing hit contract and enemy health	248	295	709
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	6.1 Attack lifecycle and scheduler	250	257	166
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	6.2 Hit data and actual damage	258	277	264
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	6.3 Events, stun and death	278	295	271
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	7. Incoming damage, clash, invulnerability, death and respawn	296	322	446
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	8. Empty-project migration slices and checks	323	338	388
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	9. Enemies and bosses: concrete instances, not imagined classes	339	387	1163
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	9.1 Six re-opened current graphs	347	370	570
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	9.2 Action semantics that change the fight	371	381	223
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	9.3 Missing actions and recovery caveats	382	387	210
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	10. Token-efficient queries and verification recipes	388	442	291
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	11. Review coverage and open work	443	453	307
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	1	Scenes, camera, terrain, animation, art and audio — Agent reference	1	405	6789
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Contract and evidence	3	10	250
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Fast routing / 中文检索词	11	26	221
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Terrain: logical map, generated geometry, decoration	27	85	939
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Source locators	29	57	422
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Verified room anchors	58	75	262
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Recovery boundary: do not rebuild blindly	76	85	248
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Travel: room graph, load phases, entry choreography	86	130	756
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Source locators and chain	88	105	366
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Serialized exit examples	106	130	382
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Camera: two-stage follow, room bounds and authored locks	131	159	538
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Source and prefab entry points	133	159	529
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Art, scene appearance and shader boundary	160	206	855
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Distinguish four layers of evidence	162	170	118
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	A complete static-art reference chain	171	178	151
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Room appearance chain	179	192	291
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Shader boundary	193	206	288
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Animation: tk2d frame libraries and Unity Animator coexist	207	258	697
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Player reference chain	209	220	186
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Code and timing contract	221	258	502
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Audio: sources, pooled events, cues, snapshots and environment	259	338	1246
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Source locators	261	279	164
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	One-shot sound execution	280	297	267
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Hero/environment sounds	298	303	132
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Music and atmosphere	304	319	338
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Concrete Bone/Tutorial audio bindings	320	338	336
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Global lookup and extraction recipes	339	365	343
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Find a component without loading an entire scene	341	361	269
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Per-feature migration record to leave for the next Agent	362	365	68
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Unresolved GUID audit: distinguish object references from metadata	366	389	576
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	2	Existing research and coverage boundaries	390	405	357
Docs/AgentReference/20_SCENES_AND_PRESENTATION.md	3	Semantic reading ledger for this chapter	397	405	257
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	1	Systems, lifecycle, persistence, progression, tools, quests, and UI	1	450	6651
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	1. Start here for a requested feature	7	25	360
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	2. Bootstrap and global lifetime	26	107	983
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	2.1 Verified startup route	28	57	267
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	2.2 What GameManager really requires	58	83	310
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	2.3 New game, opening, continue, quit	84	99	256
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	2.4 Global configuration is also an asset graph	100	107	144
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	3. Save/load and persistence	108	178	960
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	3.1 Three distinct kinds of state	110	122	221
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	3.2 Save request → durable file	123	158	371
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	3.3 Load request → playable world	159	166	121
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	3.4 Scene persistence and reset	167	178	242
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	4. Ability unlocks and progression conditions	179	208	472
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	4.1 Verified shrine example: wall jump	183	196	205
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	4.2 Verified NPC example: umbrella	197	202	113
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	4.3 Conditions and minimum port	203	208	116
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	5. Tools, crests, inventory items and economy	209	275	1031
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	5.1 Runtime assets and saved state are separate	211	228	254
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	5.2 Equipment changes are a multi-step contract	229	236	196
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	5.3 Replenishment is resource accounting	237	244	169
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	5.4 Collection, money, shops and rewards	245	275	404
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	6. Quests / wishes / story progression	276	321	613
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	6.1 Definitions, runtime registry and completion state	278	295	212
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	6.2 Accept → collect → turn in → reward → save	296	305	224
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	6.3 A concrete data example	306	321	169
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	7. NPCs and interaction lifecycle	322	347	314
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	8. UI, localization, inventory, map and journal navigation	348	366	342
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	9. Platform, user settings, input and achievements	367	385	365
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	10. World interactions and reusable prop patterns	386	407	387
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	11. Progressive integration order for an empty Unity project	408	425	295
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	2	12. Coverage record and remaining work	426	450	400
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	Semantically read in this chapter	428	438	163
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	Static bindings inspected	439	442	46
Docs/AgentReference/30_SYSTEMS_AND_PROGRESSION.md	3	Explicit gaps	443	450	184
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	1	40 — Runtime infrastructure, FSMs and dependency boundaries	1	161	2109
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	2	40.1 Engine and assembly baseline	5	31	420
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	3	Binary boundaries	20	31	171
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	2	40.2 Three graphs must be followed together	32	39	109
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	2	40.3 PlayMaker lookup, templates and execution	40	91	701
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	3	Authoritative locations	42	57	129
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	3	Instance → template is essential	58	63	112
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	3	FSMUtility behavior, read from source	64	73	123
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	3	EventRegister behavior, read from source	74	83	197
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	3	Decoder boundaries	84	91	133
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	2	40.4 Update order and time contracts	92	106	197
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	2	40.5 Global object pooling and reuse lifecycle	107	144	406
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	3	Global path	118	135	233
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	3	Scene-specific ownership	136	144	109
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	2	40.6 Asynchronous asset loading	145	156	141
Docs/AgentReference/40_RUNTIME_AND_DEPENDENCIES.md	2	40.7 Review ledger for this chapter	157	161	88
Docs/AgentReference/50_REUSE_IN_AN_EMPTY_PROJECT.md	1	50 — Reuse in an initially empty Unity project	1	113	1487
Docs/AgentReference/50_REUSE_IN_AN_EMPTY_PROJECT.md	2	50.1 Keep reference and target identities explicit	5	10	95
Docs/AgentReference/50_REUSE_IN_AN_EMPTY_PROJECT.md	2	50.2 Build a feature packet before transplanting dependencies	11	31	228
Docs/AgentReference/50_REUSE_IN_AN_EMPTY_PROJECT.md	2	50.3 Dependency closure: determine what must travel together	32	45	202
Docs/AgentReference/50_REUSE_IN_AN_EMPTY_PROJECT.md	2	50.4 Recommended construction order	46	64	394
Docs/AgentReference/50_REUSE_IN_AN_EMPTY_PROJECT.md	2	50.5 Resource migration choices	65	76	223
Docs/AgentReference/50_REUSE_IN_AN_EMPTY_PROJECT.md	2	50.6 Feature-specific verification	77	95	206
Docs/AgentReference/50_REUSE_IN_AN_EMPTY_PROJECT.md	2	50.7 Compact future-agent handoff template	96	113	92
Docs/AgentReference/90_COVERAGE_AND_LIMITS.md	1	90 — Coverage, provenance, validation and unresolved boundaries	1	125	1987
Docs/AgentReference/90_COVERAGE_AND_LIMITS.md	2	90.1 Snapshot and scope	5	12	158
Docs/AgentReference/90_COVERAGE_AND_LIMITS.md	2	90.2 Measured coverage	13	41	399
Docs/AgentReference/90_COVERAGE_AND_LIMITS.md	2	90.3 Semantic reading coverage	42	53	237
Docs/AgentReference/90_COVERAGE_AND_LIMITS.md	2	90.4 Parser and indexing boundaries	54	65	248
Docs/AgentReference/90_COVERAGE_AND_LIMITS.md	2	90.5 Recovered FSM gaps and decoder failure	66	81	239
Docs/AgentReference/90_COVERAGE_AND_LIMITS.md	2	90.6 Unresolved GUID candidates: distinguish kinds	82	99	254
Docs/AgentReference/90_COVERAGE_AND_LIMITS.md	2	90.7 Other high-impact recovery limits	100	110	176
Docs/AgentReference/90_COVERAGE_AND_LIMITS.md	2	90.8 Verification performed and meaning	111	122	163
Docs/AgentReference/90_COVERAGE_AND_LIMITS.md	2	90.9 How to deepen the reference without wasting context	123	125	72
Docs/AgentReference/README.md	1	SilksongUnity6 — Agent Reference	1	95	1469
Docs/AgentReference/README.md	2	START HERE	7	16	141
Docs/AgentReference/README.md	2	Task router	17	43	495
Docs/AgentReference/README.md	2	What this project actually contains	44	56	203
Docs/AgentReference/README.md	2	Non-negotiable interpretation rules	57	67	244
Docs/AgentReference/README.md	2	Evidence levels	68	78	138
Docs/AgentReference/README.md	2	Existing research to retain	79	88	89
Docs/AgentReference/README.md	2	Reference contract for the next agent	89	95	76
