source	component_id	owner_id	owner_name	owner_hierarchy	line	target_scene	entry_point	is_door	entry_delay	always_enter_left	always_enter_right
Assets/Scenes/Hornet/Abyss_11.unity	2423	374	bot1	bot1	167158	Abyss_02b	top1	0	0	0	0
Assets/Scenes/Hornet/Abyss_12.unity	1990	40	right2	right2	120026	Abyss_05	left2	0	0	0	0
Assets/Scenes/Hornet/Abyss_12.unity	1991	408	left1	left1	120074	Abyss_07	right1	0	0	0	0
Assets/Scenes/Hornet/Abyss_13.unity	7771	91	left1	left1	564245	Abyss_11	right1	0	0	0	0
Assets/Scenes/Hornet/Abyss_13.unity	7772	477	right1	right1	564293	Abyss_03	left2	0	0	0	0
Assets/Scenes/Hornet/Abyss_13.unity	7773	1057	top1	top1	564341	Abyss_09	bot1	0	0	0	0
Assets/Scenes/Hornet/Abyss_Cocoon.unity	16464	97	door_entry	Boss Control/door_entry	2246202	Abyss_Cocoon		1	0	0	0
Assets/Scenes/Hornet/Abyss_Cocoon.unity	16465	109	door_test	door_test	2246250	Abyss_Cocoon	door_entry	1	0	0	0
Assets/Scenes/Hornet/Ant_02.unity	5118	168	left1	left1	413785	Bone_08	right3	0	0	0	0
Assets/Scenes/Hornet/Ant_02.unity	5119	326	right1	right1	413833	Ant_03	left2	0	0	0	0
Assets/Scenes/Hornet/Ant_03.unity	5277	177	left2	left2	381399	Ant_02	right1	0	0	0	0
Assets/Scenes/Hornet/Ant_03.unity	5278	456	right3	right3	381447	Ant_04_left	left1	0	0	0	0
Assets/Scenes/Hornet/Ant_04.unity	8552	522	right1	right1	731619	Ant_14	left3	0	0	0	0
Assets/Scenes/Hornet/Ant_04.unity	8553	901	left1	left1	731667	Ant_04_mid	right1	0	0	0	0
Assets/Scenes/Hornet/Ant_04_left.unity	8638	251	left1	left1	780634	Ant_03	right3	0	0	0	0
Assets/Scenes/Hornet/Ant_04_left.unity	8639	721	right1	right1	780682	Ant_04_mid	left1	0	0	0	0
Assets/Scenes/Hornet/Ant_04_mid.unity	8146	846	left1	left1	1119862	Ant_04_left	right1	0	0	0	0
Assets/Scenes/Hornet/Ant_04_mid.unity	8147	857	right1	right1	1119910	Ant_04	left1	0	0	0	0
Assets/Scenes/Hornet/Ant_05b.unity	5154	448	right1	right1	632655	Ant_14	left4	0	0	0	0
Assets/Scenes/Hornet/Ant_05b.unity	5155	572	bot1	bot1	632703	Bone_East_04b	top1	0	0	0	0
Assets/Scenes/Hornet/Ant_05b.unity	5156	593	bot2	bot2	632751	Bone_East_04	top2	0	0	0	0
Assets/Scenes/Hornet/Ant_05c.unity	4488	58	left1	left1	381481	Ant_14	right2	0	0	0	0
Assets/Scenes/Hornet/Ant_05c.unity	4489	499	right1	right1	381529	Ant_09	left1	0	0	0	0
Assets/Scenes/Hornet/Ant_08.unity	10792	480	top1	Battle Scene/top1	1290051	Halfway_01	bot1	0	0	0	0
Assets/Scenes/Hornet/Ant_09.unity	6962	356	left1	left1	493527	Ant_05c	right1	0	0	0	0
Assets/Scenes/Hornet/Ant_09.unity	6963	930	right1	right1	493575	Bone_East_11	left1	0	0	0	0
Assets/Scenes/Hornet/Ant_14.unity	6106	70	left1	left1	353390	Ant_Merchant	right1	0	0	0	0
Assets/Scenes/Hornet/Ant_14.unity	6107	222	left2	left2	353438	Ant_17	right1	0	0	0	0
Assets/Scenes/Hornet/Ant_14.unity	6108	383	right3	right3	353486	Ant_20	left1	0	0	0	0
Assets/Scenes/Hornet/Ant_14.unity	6109	820	right2	right2	353534	Ant_05c	left1	0	0	0	0
Assets/Scenes/Hornet/Ant_14.unity	6110	913	left4	left4	353582	Ant_05b	right1	0	0	0	0
Assets/Scenes/Hornet/Ant_14.unity	6111	1090	left3	left3	353630	Ant_04	right1	0	0	0	0
Assets/Scenes/Hornet/Ant_14.unity	6112	1095	left5	left5	353678	Ant_21	right1	0	0	0	0
Assets/Scenes/Hornet/Ant_17.unity	1417	93	right1	right1	135912	Ant_14	left2	0	0	0	0
Assets/Scenes/Hornet/Ant_19.unity	16627	512	left1	left1	1273144	Ant_20	door1	0	0	0	0
Assets/Scenes/Hornet/Ant_19.unity	16628	4047	door_memoryEnd	door_memoryEnd	1273192			0	0	0	1
Assets/Scenes/Hornet/Ant_20.unity	9862	588	left1	left1	758549	Ant_14	right3	0	0	0	0
Assets/Scenes/Hornet/Ant_20.unity	9863	1337	door1	Chapel Door Control/door1	758597	Ant_19	left1	1	0	0	0
Assets/Scenes/Hornet/Ant_21.unity	4917	504	right1	right1	573131	Ant_14	left5	0	0	0	0
Assets/Scenes/Hornet/Ant_Merchant.unity	5450	10	right1	right1	421212	Ant_14	left1	0	0	0	0
Assets/Scenes/Hornet/Ant_Queen.unity	1825	32	left1	left1	122771	Bone_East_25	door1	0	0	0	0
Assets/Scenes/Hornet/Ant_Queen.unity	1826	463	door_wakeOnGround	Memory Group/door_wakeOnGround	122819			0	0	0	0
Assets/Scenes/Hornet/Aqueduct_01.unity	12798	180	right1	right1	1466529	Aqueduct_02	left1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_01.unity	12799	920	left1	left1	1466577	Arborium_11	right1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_02.unity	6524	118	right1	right1	671539	Aqueduct_03	left1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_02.unity	6525	253	left3	left3	671587	Aqueduct_07	right1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_02.unity	6526	425	left2	left2	671635	Aqueduct_04	right1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_02.unity	6527	566	left1	left1	671683	Aqueduct_01	right1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_02.unity	6528	639	right2	right2	671731	Bellway_Aqueduct	left1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_02.unity	6529	689	right3	right3	671779	Aqueduct_08	left1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_03.unity	12776	168	right1	right1	1374466	Aqueduct_05	left1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_03.unity	12777	862	left1	left1	1374514	Aqueduct_02	right1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_03.unity	12778	1185	top1	top1	1374562	Aqueduct_06	bot1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_04.unity	9471	189	right1	right1	1082828	Aqueduct_02	left2	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_04.unity	9472	1237	door1	door1	1082876	Room_Huntress	left1	1	0	0	0
Assets/Scenes/Hornet/Aqueduct_04.unity	9473	1423	bot1	bot1	1082924	Shadow_01	top1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_05.unity	8669	1535	left1	left1	535677	Aqueduct_03	right1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_05_caravan.unity	2107	38	door2	Caravan_States/Fleatopia/door2	286922	Room_Caravan_Spa	left1	1	0	0	0
Assets/Scenes/Hornet/Aqueduct_05_caravan.unity	2108	130	door_caravanTravelEnd	Caravan_States/Fleatopia/door_caravanTravelEnd	286970			0	0	0	1
Assets/Scenes/Hornet/Aqueduct_06.unity	10212	513	bot1	bot1	960131	Aqueduct_03	top1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_06.unity	10213	810	left1	left1	960179	Bellway_Aqueduct	right1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_06.unity	10214	1335	left2	left2	960227	Aqueduct_08	right1	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_07.unity	3904	434	right1	right1	502622	Aqueduct_02	left3	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_08.unity	2184	176	left1	left1	221087	Aqueduct_02	right3	0	0	0	0
Assets/Scenes/Hornet/Aqueduct_08.unity	2185	319	right1	right1	221135	Aqueduct_06	left2	0	0	0	0
Assets/Scenes/Hornet/Arborium_01.unity	8963	60	left2	left2	516336	Arborium_09	right2	0	0	0	0
Assets/Scenes/Hornet/Arborium_01.unity	8964	129	right3	right3	516384	Arborium_06	left1	0	0	0	0
Assets/Scenes/Hornet/Arborium_01.unity	8965	181	left3	left3	516432	Arborium_Tube	right1	0	0	0	0
Assets/Scenes/Hornet/Arborium_01.unity	8966	284	right1	right1	516480	Arborium_08	left1	0	0	0	0
Assets/Scenes/Hornet/Arborium_01.unity	8967	557	bot1	bot1	516528	Song_25	top1	0	0	0	0
Assets/Scenes/Hornet/Arborium_01.unity	8968	980	left1	left1	516576	Arborium_09	right1	0	0	0	0
Assets/Scenes/Hornet/Arborium_01.unity	8969	1121	right5	right5	516624	Arborium_04	left1	0	0	0	0
Assets/Scenes/Hornet/Arborium_01.unity	8970	1276	right2	right2	516672	Arborium_07	left1	0	0	0	0
Assets/Scenes/Hornet/Arborium_01.unity	8971	1348	right4	right4	516720	Arborium_02	left1	0	0	0	0
Assets/Scenes/Hornet/Arborium_02.unity	5074	169	right1	right1	372385	Arborium_03	left3	0	0	0	0
Assets/Scenes/Hornet/Arborium_02.unity	5075	315	left1	left1	372433	Arborium_01	right4	0	0	0	0
Assets/Scenes/Hornet/Arborium_03.unity	5469	360	left1	left1	418116	Arborium_06	right1	0	0	0	0
Assets/Scenes/Hornet/Arborium_03.unity	5470	437	left3	left3	418164	Arborium_02	right1	0	0	0	0
Assets/Scenes/Hornet/Arborium_03.unity	5471	717	left4	left4	418212	Arborium_04	right1	0	0	0	0
Assets/Scenes/Hornet/Arborium_03.unity	5472	722	left2	left2	418260	Arborium_05	right1	0	0	0	0
Assets/Scenes/Hornet/Arborium_03.unity	5473	755	right1	right1	418308	Arborium_10	left1	0	0	0	0
Assets/Scenes/Hornet/Arborium_03.unity	5474	839	right2	right2	418356	Arborium_11	left1	0	0	0	0
Assets/Scenes/Hornet/Arborium_04.unity	5743	419	left1	left1	363869	Arborium_01	right5	0	0	0	0
Assets/Scenes/Hornet/Arborium_04.unity	5744	651	right1	right1	363917	Arborium_03	left4	0	0	0	0
Assets/Scenes/Hornet/Arborium_05.unity	5016	106	top1	top1	376485	Arborium_06	bot1	0	0	0	0
Assets/Scenes/Hornet/Arborium_05.unity	5017	188	right1	right1	376533	Arborium_03	left2	0	0	0	0
Assets/Scenes/Hornet/Arborium_06.unity	6193	233	right1	right1	724538	Arborium_03	left1	0	0	0	0
Assets/Scenes/Hornet/Arborium_06.unity	6194	438	bot1	bot1	724586	Arborium_05	top1	0	0	0	0
Assets/Scenes/Hornet/Arborium_06.unity	6195	447	left1	left1	724634	Arborium_01	right3	0	0	0	0
Assets/Scenes/Hornet/Arborium_07.unity	7094	320	left1	left1	408245	Arborium_01	right2	0	0	0	0
Assets/Scenes/Hornet/Arborium_07.unity	7095	480	top1	top1	408293	Arborium_08	bot1	0	0	0	0
Assets/Scenes/Hornet/Arborium_08.unity	5321	289	bot1	bot1	333729	Arborium_07	top1	0	0	0	0
Assets/Scenes/Hornet/Arborium_08.unity	5322	305	left1	left1	333777	Arborium_01	right1	0	0	0	0
Assets/Scenes/Hornet/Arborium_09.unity	11436	400	right1	right1	566958	Arborium_01	left1	0	0	0	0
Assets/Scenes/Hornet/Arborium_09.unity	11437	1992	right2	right2	567006	Arborium_01	left2	0	0	0	0
Assets/Scenes/Hornet/Arborium_10.unity	2057	18	left1	left1	112630	Arborium_03	right1	0	0	0	0
Assets/Scenes/Hornet/Arborium_11.unity	9025	602	left1	left1	789578	Arborium_03	right2	0	0	0	0
Assets/Scenes/Hornet/Arborium_11.unity	9026	1439	right1	right1	789626	Aqueduct_01	left1	0	0	0	0
Assets/Scenes/Hornet/Arborium_Tube.unity	1436	63	right1	right1	116378	Arborium_01	left3	0	0	0	0
Assets/Scenes/Hornet/Arborium_Tube.unity	1437	284	door_tubeEnter	City Travel Tube/door_tubeEnter	116426			1	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11298	160	bot5	bot5	735645	Bonetown	top5	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11299	177	top1	top1	735693	Coral_19	bot1	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11300	330	right3	right3	735741	Mosstown_02	left1	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11301	415	bot3	bot3	735789	Bonetown	top3	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11302	542	left2	left2	735837	Crawl_04	right1	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11303	559	top4	top4	735885	Coral_19	bot4	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11304	639	top3	top3	735933	Coral_19	bot3	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11305	758	right2	right2	735981	Shellwood_08c	left1	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11306	788	top5	top5	736029	Coral_19	bot5	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11307	807	bot4	bot4	736077	Bonetown	top4	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11308	935	top6	top6	736125	Coral_19	bot6	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11309	1255	bot2	bot2	736173	Bonetown	top2	0	0	1	0
Assets/Scenes/Hornet/Aspid_01.unity	11310	1440	right4	right4	736221	Bone_11	left1	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11311	1711	left1	left1	736269	Crawl_01	right1	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11312	1741	top2	top2	736317	Coral_19	bot2	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11313	1775	bot1	bot1	736365	Bonetown	top1	0	0	0	0
Assets/Scenes/Hornet/Aspid_01.unity	11314	1992	top7	top7	736413	Coral_19	bot7	0	0	0	0
Assets/Scenes/Hornet/Bellshrine.unity	1390	48	right1	Whole Scene/_Transition Gates/right1	172835	Bone_03	left1	0	0	0	0
Assets/Scenes/Hornet/Bellshrine.unity	1391	131	left1	Whole Scene/_Transition Gates/left1	172883	Bone_05	right1	0	0	0	0
Assets/Scenes/Hornet/Bellshrine_02.unity	1626	53	right1	Whole Scene/_Transition Gates/right1	188536	Greymoor_02	left2	0	0	0	0
Assets/Scenes/Hornet/Bellshrine_02.unity	1627	164	left1	Whole Scene/_Transition Gates/left1	188584	Greymoor_01	right2	0	0	0	0
Assets/Scenes/Hornet/Bellshrine_03.unity	2008	67	right1	Whole Scene/_Transition Gates/right1	208047	Shellwood_19	left1	0	0	0	0
Assets/Scenes/Hornet/Bellshrine_03.unity	2009	192	left1	Whole Scene/_Transition Gates/left1	208095	Shellwood_08	right1	0	0	0	0
Assets/Scenes/Hornet/Bellshrine_05.unity	2202	69	right1	Whole Scene/_Transition Gates/right1	286205	Bone_East_02	left1	0	0	0	0
Assets/Scenes/Hornet/Bellshrine_05.unity	2203	202	left1	Whole Scene/_Transition Gates/left1	286253	Bone_East_12	right1	0	0	0	0
Assets/Scenes/Hornet/Bellshrine_Coral.unity	1632	250	left1	Whole Scene/_Transition Gates/left1	297885	Coral_38	right1	0	0	0	0
Assets/Scenes/Hornet/Bellshrine_Enclave.unity	2344	311	left1	Whole Scene/_Transition Gates/left1	201347	Song_Enclave	door1	0	0	0	0
Assets/Scenes/Hornet/Belltown.unity	10351	108	door3	hanging_bell_house_Pinsmith/open/door3	632846	Belltown_Room_pinsmith	left1	1	0	0	0
Assets/Scenes/Hornet/Belltown.unity	10352	330	door4	hanging_bell_house 2/open/door4	632894	Belltown_Room_Relic	left1	1	0	0	0
Assets/Scenes/Hornet/Belltown.unity	10353	735	door5	Hornet House States/door5	632942	Belltown_Room_Spare	left1	1	0	0	0
Assets/Scenes/Hornet/Belltown.unity	10354	1218	door1	door1	632990	Belltown_basement	left1	1	0	0	0
Assets/Scenes/Hornet/Belltown.unity	10355	1248	left3	_Transition Gates/left3	633038	Belltown_07	right1	0	0	0	0
Assets/Scenes/Hornet/Belltown.unity	10356	1762	right2	right2	633086	Belltown_06	left1	0	0	0	0
Assets/Scenes/Hornet/Belltown_04.unity	10758	39	left2	left2	861058	Shellwood_15	right1	0	0	0	0
Assets/Scenes/Hornet/Belltown_04.unity	10759	560	bot1	bot1	861106	Belltown_Shrine	top1	0	0	0	0
Assets/Scenes/Hornet/Belltown_04.unity	10760	755	left1	left1	861154	Shellwood_13	right1	0	0	0	0
Assets/Scenes/Hornet/Belltown_06.unity	5081	175	left3	left3	262169	Belltown_Shrine	right1	0	0	0	0
Assets/Scenes/Hornet/Belltown_06.unity	5082	432	door1	door1	262217	Belltown_Room_Fisher	right1	1	0	0	0
Assets/Scenes/Hornet/Belltown_06.unity	5083	752	left1	left1	262265	Belltown	right2	0	0	0	0
Assets/Scenes/Hornet/Belltown_06.unity	5084	1066	right1	right1	262313	Greymoor_08	left2	0	0	0	0
Assets/Scenes/Hornet/Belltown_07.unity	3835	589	left1	_Transition Gates/left1	219705	Shellwood_01	right2	0	0	0	0
Assets/Scenes/Hornet/Belltown_07.unity	3836	792	right1	right1	219753	Belltown	left3	0	0	0	0
Assets/Scenes/Hornet/Belltown_08.unity	5051	317	right1	right1	687797	Wisp_02	left1	0	0	0	0
Assets/Scenes/Hornet/Belltown_Room_Relic.unity	771	20	left1	left1	74370	Belltown	door4	0	0	0	0
Assets/Scenes/Hornet/Belltown_Room_Spare.unity	2009	99	left1	left1	307496	Belltown	door5	0	0	0	0
Assets/Scenes/Hornet/Belltown_Room_doctor.unity	613	35	left1	left1	85257	Wisp_03	door1	0	0	0	0
Assets/Scenes/Hornet/Belltown_Room_pinsmith.unity	311	27	left1	left1	23242	Belltown	door3	0	0	0	0
Assets/Scenes/Hornet/Belltown_Room_shellwood.unity	1293	42	left1	left1	79657	Shellwood_01	right1	0	0	0	0
Assets/Scenes/Hornet/Belltown_Shrine.unity	6401	480	top1	Whole Scene/top1	620489	Belltown_04	bot1	0	0	0	0
Assets/Scenes/Hornet/Belltown_Shrine.unity	6402	823	right1	Whole Scene/right1	620537	Belltown_06	left3	0	0	0	0
Assets/Scenes/Hornet/Belltown_Shrine.unity	6403	1215	door_wakeOnGround	door_wakeOnGround	620585			0	0	0	0
Assets/Scenes/Hornet/Belltown_basement.unity	5697	325	bot1	bot1	353308	Belltown_basement_03	top1	0	0	1	0
Assets/Scenes/Hornet/Belltown_basement.unity	5698	372	left1	left1	353356	Belltown	door1	0	0	0	0
Assets/Scenes/Hornet/Belltown_basement.unity	5699	1224	door_fastTravelExit	door_fastTravelExit	353404			1	0	0	1
Assets/Scenes/Hornet/Belltown_basement_03.unity	15114	1339	top1	top1	1271139	Belltown_basement	bot1	0	0	0	0
Assets/Scenes/Hornet/Belltown_basement_03.unity	15115	2002	left1	left1	1271187	Bone_08	right2	0	0	0	0
Assets/Scenes/Hornet/Bellway_01.unity	3662	601	left1	left1	244435	Bonetown	door1	0	0	0	0
Assets/Scenes/Hornet/Bellway_01.unity	3663	841	door_fastTravelExit	_Transition Gates/door_fastTravelExit	244483			1	0	1	0
Assets/Scenes/Hornet/Bellway_02.unity	3717	34	left1	left1	222103	Dock_16	right1	0	0	0	0
Assets/Scenes/Hornet/Bellway_02.unity	3718	239	right1	right1	222151	Bone_East_01	left2	0	0	0	0
Assets/Scenes/Hornet/Bellway_02.unity	3719	823	door_fastTravelExit	_Transition Gates/door_fastTravelExit	222199			1	0	0	1
Assets/Scenes/Hornet/Bellway_03.unity	8145	374	right1	right1	593618	Bone_East_09b	left1	0	0	0	0
Assets/Scenes/Hornet/Bellway_03.unity	8146	554	left1	left1	593666	Bone_East_07	right2	0	0	0	0
Assets/Scenes/Hornet/Bellway_03.unity	8147	1867	door_fastTravelExit	door_fastTravelExit	593714			1	0	1	0
Assets/Scenes/Hornet/Bellway_04.unity	5690	486	bot1	bot1	342881	Greymoor_16	top1	0	0	0	0
Assets/Scenes/Hornet/Bellway_04.unity	5691	690	left1	left1	342929	Greymoor_05	right2	0	0	0	0
Assets/Scenes/Hornet/Bellway_04.unity	5692	1220	door_fastTravelExit	door_fastTravelExit	342977			1	0	1	0
Assets/Scenes/Hornet/Bellway_08.unity	3977	54	left1	left1	351931	Coral_35	right1	0	0	0	0
Assets/Scenes/Hornet/Bellway_08.unity	3978	254	right1	right1	351979	Coral_03	left1	0	0	0	0
Assets/Scenes/Hornet/Bellway_08.unity	3979	775	door_fastTravelExit	door_fastTravelExit	352027			1	0	0	1
Assets/Scenes/Hornet/Bellway_Aqueduct.unity	4998	465	left1	Shadow_09b/left1	360588	Aqueduct_02	right2	0	0	0	0
Assets/Scenes/Hornet/Bellway_Aqueduct.unity	4999	484	right1	right1	360636	Aqueduct_06	left1	0	0	0	0
Assets/Scenes/Hornet/Bellway_Aqueduct.unity	5000	1141	door_fastTravelExit	Group/door_fastTravelExit	360684			1	0	1	0
Assets/Scenes/Hornet/Bellway_Centipede_Arena.unity	6424	282	top1	top1	946974	'[dynamic]'	door_centipedeExit	0	0	0	0
Assets/Scenes/Hornet/Bellway_Centipede_additive.unity	210	34	door_centipedeExit	Bell Centipede Bellway Scene/door_centipedeExit	48946			1	0	1	0
Assets/Scenes/Hornet/Bellway_City.unity	9243	229	right1	right1	568268	Library_11	left2	0	0	0	0
Assets/Scenes/Hornet/Bellway_City.unity	9244	452	left1	left1	568316	Song_20	right6	0	0	0	0
Assets/Scenes/Hornet/Bellway_City.unity	9245	1687	door_tubeEnter	City Travel Tube/door_tubeEnter	568364			1	0	0	0
Assets/Scenes/Hornet/Bellway_City.unity	9246	1809	door_fastTravelExit	door_fastTravelExit	568412			1	0	1	0
Assets/Scenes/Hornet/Bellway_Peak.unity	3004	109	right1	right1	245506	Peak_04	left1	0	0	0	0
Assets/Scenes/Hornet/Bellway_Peak.unity	3005	189	right2	right2	245554	Bellway_Peak_02	left1	0	0	0	0
Assets/Scenes/Hornet/Bellway_Peak.unity	3006	450	left1	left1	245602	Peak_04c	right1	0	0	0	0
Assets/Scenes/Hornet/Bellway_Peak.unity	3007	526	left2	left2	245650	Peak_04c	right2	0	0	0	0
Assets/Scenes/Hornet/Bellway_Peak.unity	3008	536	top1	Group (1)/top1	245698	Peak_05	bot1	0	0	0	0
Assets/Scenes/Hornet/Bellway_Peak_02.unity	6286	638	left1	left1	703098	Bellway_Peak	right2	0	0	0	0
Assets/Scenes/Hornet/Bellway_Shadow.unity	4171	384	left1	Shadow_09b/left1	346901	Shadow_04	right2	0	0	0	0
Assets/Scenes/Hornet/Bellway_Shadow.unity	4172	917	door_fastTravelExit	Group/door_fastTravelExit	346949			1	0	1	0
Assets/Scenes/Hornet/Bone_01.unity	12433	486	top2 extra	top2 extra	1086432	Bone_04	bot2	0	0	0	0
Assets/Scenes/Hornet/Bone_01.unity	12434	1382	right1	right1	1086480	Bone_01c	left1	0	0	0	0
Assets/Scenes/Hornet/Bone_01.unity	12435	1641	left2	_Transition Gates/left2	1086528	Bonetown	right2	0	0	0	0
Assets/Scenes/Hornet/Bone_01.unity	12436	1746	top2	top2	1086576	Bone_04	bot2	0	0	0	0
Assets/Scenes/Hornet/Bone_01.unity	12437	2272	right2	right2	1086624	Bone_01c	left2	0	0	0	0
Assets/Scenes/Hornet/Bone_01b.unity	3195	180	left1	left1	364775	Bone_11b	right1	0	0	0	0
Assets/Scenes/Hornet/Bone_01b.unity	3196	316	left2	left2	364823	Bonetown	right1	0	0	0	0
Assets/Scenes/Hornet/Bone_01c.unity	5460	576	left1	_Transition Gates/left1	573591	Bone_01	right1	0	0	0	0
Assets/Scenes/Hornet/Bone_01c.unity	5461	594	left2	_Transition Gates/left2	573639	Bone_01	right2	0	0	0	0
Assets/Scenes/Hornet/Bone_01c.unity	5462	821	right1	right1	573687	Bone_02	left1	0	0	0	0
Assets/Scenes/Hornet/Bone_02.unity	7744	294	top2	top2	624908	Bone_10	bot1	0	0	0	0
Assets/Scenes/Hornet/Bone_02.unity	7745	735	right1	right1	624956	Bone_16	left1	0	0	0	0
Assets/Scenes/Hornet/Bone_02.unity	7746	1004	left1	_Transition Gates/left1	625004	Bone_01c	right1	0	0	0	0
Assets/Scenes/Hornet/Bone_02.unity	7747	1240	top1	top1	625052	Bone_03	bot1	0	0	0	0
Assets/Scenes/Hornet/Bone_02_Readable.unity	7744	294	top2	top2	633879	Bone_10	bot1	0	0	0	0
Assets/Scenes/Hornet/Bone_02_Readable.unity	7745	735	right1	right1	633927	Bone_16	left1	0	0	0	0
Assets/Scenes/Hornet/Bone_02_Readable.unity	7746	1004	left1	_Transition Gates/left1	633975	Bone_01c	right1	0	0	0	0
Assets/Scenes/Hornet/Bone_02_Readable.unity	7747	1240	top1	top1	634023	Bone_03	bot1	0	0	0	0
Assets/Scenes/Hornet/Bone_02_temp.unity	7744	294	top2	Read/_Transition Gates/top2	633912	Bone_10	bot1	0	0	0	0
