source	component_id	owner_id	clip_index	clip_name	line	fps	wrap_mode	loop_start	frame_count	event_frames_zero_based	collection_guids
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	28	Look 4	812	12	2	0	2		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	29	Look 5	829	12	2	0	2		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	30	Look 6	846	12	2	0	2		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	31	Look 7	863	12	2	0	2		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	32	Catch Look	880	18	6	0	1		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	33	Death Prepare	891	12	1	3	14		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	34	Death Pull	980	12	1	2	4		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	35	Death Yank	1009	12	1	2	4		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	36	Death Collapse	1038	12	2	0	17		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	37	Eye Beam	1145	18	2	0	6		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	38	Eye Halo	1186	22	2	0	5		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	39	Cyclone Projectile	1221	20	1	1	5		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	40	Cyclone Projectile Slash	1256	20	2	1	6		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	41	NPC Idle	1297	12	0	0	12		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	42	NPC Look	1374	12	1	2	14		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	43	Did Roar	1463	12	2	0	3		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	0	Idle	48	12	0	0	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	1	G Dash Antic	89	18	2	0	10		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	2	G Dash	154	20	1	0	2		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	3	G Dash Recover1	171	18	2	0	4		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	4	G Dash Recover2	200	18	2	0	2		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	5	Jump Antic	217	12	2	0	4		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	6	Jump	246	12	1	5	9		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	7	Land	305	12	2	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	8	A Dash Antic	328	20	2	0	9		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	9	A Dash	387	20	0	0	2		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	10	A Dash Recover	404	12	1	1	5		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	11	Wall Impact	439	12	2	0	4		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	12	Sphere Antic G	468	12	2	0	10		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	13	Sphere Antic A	533	12	2	0	7		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	14	Sphere Attack	580	15	1	5	9		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	15	Sphere Recover G	639	12	2	0	2		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	16	Sphere Recover A	656	12	2	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	17	Sphere Ball	679	20	1	1	9		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	18	Fall	738	12	0	4	4		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	19	Throw Antic	767	18	2	0	14		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	20	Throw	856	12	1	3	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	21	Throw Recover	897	18	2	0	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	22	Needle	938	20	2	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	23	Needle Thread	961	20	2	0	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	24	Run	1002	12	0	0	8		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	25	Hard Land	1055	12	2	0	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	26	Evade Antic	1096	12	2	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	27	Evade	1119	12	0	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	28	Stun Air	1142	18	2	0	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	29	Stun	1183	12	1	2	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	30	Stun Recover	1224	12	2	0	2		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	31	Air Dash Effect	1241	30	2	0	5		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	32	G Dash Effect	1276	30	2	0	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	33	Flash	1317	30	2	0	4		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	34	Throw Effect	1346	30	2	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	35	G Dash Recover	1369	12	2	0	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	36	Wounded	1410	12	1	3	9		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	37	Death Air	1469	12	2	0	4		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	38	G Dash Antic Q	1498	18	2	0	8		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	39	A Dash Antic Q	1551	20	2	0	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	40	Jump Antic Q	1592	12	2	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	41	Throw Antic Q	1615	18	2	0	10		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	42	Sphere Antic G Q	1680	12	2	0	6		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	43	Sphere Antic A Q	1721	20	2	0	7		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	44	Counter Antic	1768	15	2	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	45	Counter Stance	1791	12	0	0	4		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	46	Counter End	1820	12	2	0	2		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	47	Counter Attack Antic	1837	12	2	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	48	Counter Attack 1	1860	18	2	0	1		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	49	Counter Attack Recover	1871	12	2	0	2		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	50	Counter Attack 2	1888	18	2	0	1		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	51	Barb Thread	1899	18	2	0	5		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	52	Barb Spike	1934	18	2	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	53	Barb Spike Antic	1957	18	2	0	1		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	54	Barb Loose	1968	18	2	0	5		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	55	Barb Break	2003	12	2	0	3		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	56	Barb Throw Antic	2026	12	2	0	4		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	57	Barb Throw	2055	18	1	1	4		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	58	Barb Throw Recover	2084	15	2	0	5		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	59	Flourish	2119	12	2	0	14		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Hornet Boss Anim.prefab	114724804207875695	1709254077376921	60	Hornet Flash	2208	20	2	0	4		d3e6c28e8c3c2df4487794765cc933dd
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	0	Wall Arrive	48	20	2	0	9		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	1	Dash Arrive	107	20	2	0	6		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	2	Dash Antic	148	12	2	0	5		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	3	Dash Attack	183	20	0	0	3		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	4	Dash Recover	206	16	2	0	10		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	5	Dash Leave	271	20	2	0	4		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	6	Throne Wounded	300	20	2	0	7		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	7	Wall Ready	347	12	2	0	3		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	8	Throne Idle	370	30	6	0	1		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	9	Throne Stand	381	12	2	0	3		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	10	Throne Leave	404	20	2	0	4		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	11	Dstab Arrive	433	20	2	0	12		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	12	Dstab Attack	510	30	0	0	2		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	13	Dstab Land	527	12	2	0	8		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	14	Dstab Leave	580	20	2	0	3		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	15	Throw Antic	603	12	2	0	5		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	16	Throw	638	12	2	0	4		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	17	Wall Leave 1	667	12	2	0	2		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	18	Wall Leave 2	684	20	2	0	3		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	19	Lance	707	30	6	0	1		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	20	Projectile Break	718	12	2	0	1		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	21	Knight Challenge 1	729	12	2	0	12		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	22	Knight Challenge 2	806	12	2	0	2		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	23	Death Air	823	12	2	0	2		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	24	Death Land	840	12	2	0	3		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	25	Death Leave	863	20	2	0	2		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	26	Throne Bow	880	12	2	0	28		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	27	Throne Look	1053	12	2	0	2		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	28	Throne Gesture 1	1070	15	2	0	5		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	29	Throne Look Up	1105	20	2	0	5		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	30	Throne Look Down	1140	20	2	0	5		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	31	Throne Gesture 2	1175	12	2	0	12		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	32	Mantis Air Projectile	1252	15	1	1	3		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	33	Death New 1	1275	15	1	2	5		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	34	Death New 2	1310	16	2	0	3		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	35	Triple Gesture 1	1333	12	2	0	4		
Assets/Animations/Bosses/Mantis Lords Anim.prefab	114724804207875695	1709254077376921	36	Triple Gesture 2	1362	12	2	0	2		
Assets/Animations/Bosses/Mossbone Mother Anim.prefab	114724804207875695	1709254077376921	0	Antic	48	15	0	0	3		c8505a3df1fdf774c8c91485245c3324
Assets/Animations/Bosses/Mossbone Mother Anim.prefab	114724804207875695	1709254077376921	1	Fly	71	12	0	0	4		c8505a3df1fdf774c8c91485245c3324
Assets/Animations/Bosses/Mossbone Mother Anim.prefab	114724804207875695	1709254077376921	2	Charge	100	15	0	1	3		c8505a3df1fdf774c8c91485245c3324
Assets/Animations/Bosses/Mossbone Mother Anim.prefab	114724804207875695	1709254077376921	3	Charge Recover	123	12	1	4	8		c8505a3df1fdf774c8c91485245c3324
Assets/Animations/Bosses/Mossbone Mother Anim.prefab	114724804207875695	1709254077376921	4	Roar	176	15	0	0	3		c8505a3df1fdf774c8c91485245c3324
Assets/Animations/Bosses/Mossbone Mother Anim.prefab	114724804207875695	1709254077376921	5	FlyUp	199	15	0	0	2		c8505a3df1fdf774c8c91485245c3324
Assets/Animations/Bosses/Mossbone Mother Anim.prefab	114724804207875695	1709254077376921	6	Smash	216	12	2	0	6		c8505a3df1fdf774c8c91485245c3324
